,SetID,Number,Variant,ThemeGroup,Theme,Year,Name,Minifigs,Pieces,Image,ImageFilename
6,8415,1,11,Basic,Basic,1981,Basic Souvenir Box,,38.0,True,1-11
53,5024,0011,3,Historical,Castle,1987,2 For 1 Bonus Offer,,151.0,True,0011-3
61,23464,15,1,Historical,Castle,1984,Castle Minifigures,6.0,10.0,False,
74,22519,22,3,Miscellaneous,Assorted,1995,Value Pack Italy,,91.0,True,22-3
76,22520,23,2,Modern day,Town,1995,Value Pack Italy,,161.0,True,23-2
108,9581,54,1,Action/Adventure,Space,1997,UFO Action Pack,,96.0,True,54-1
166,123,105,1,Modern day,Town,1984,Mail Van,1.0,65.0,True,105-1
170,125,106,1,Modern day,Town,1985,UNICEF Van,1.0,59.0,True,106-1
172,129,107,2,Modern day,Town,1985,Mail Truck,1.0,31.0,True,107-2
274,708,200,2,Miscellaneous,Books,1985,Building Ideas Book,,,True,200-2
324,845,226,2,Miscellaneous,Books,1981,Building Ideas Book,,,True,226-2
326,27121,226,4,Miscellaneous,Books,1984,The Building Book,,,True,226-4
367,924,250,1,Miscellaneous,Books,1987,Building Ideas Book,,1.0,True,250-1
386,5015,260,1,Miscellaneous,Books,1990,Idea Book,,1.0,True,260-1
433,22560,293,2,Basic,Basic,1985,Basic Building Set,,,True,293-2
443,1259,303,1,Basic,Basic,1987,"Basic Building Set, 3+",,33.0,False,
445,1267,304,1,Basic,Basic,1985,"Basic Building Set, 3+",,31.0,False,
451,1289,307,1,Basic,Basic,1987,"Basic Building Set, 3+",,,False,
454,1301,308,2,Basic,Basic,1985,"Basic Building Set, 3+",,30.0,False,
461,1317,310,4,Basic,Basic,1985,"Basic Building Set, 3+",,46.0,True,310-4
465,1327,311,3,Basic,Basic,1984,"Basic Building Set, 3+",,83.0,True,311-3
476,1362,315,1,Basic,Basic,1990,"Basic Building Set, 3+",,62.0,True,315-1
484,22423,317,2,Basic,Basic,1987,Basic Building Set,,68.0,False,
489,1383,320,1,Basic,Basic,1985,"Basic Building Set, 3+",1.0,77.0,True,320-1
494,1395,322,1,Basic,Basic,1981,Basic Set,,82.0,True,322-1
500,1413,325,1,Basic,Basic,1990,"Basic Building Set, 3+",1.0,104.0,True,325-1
505,22426,327,1,Basic,Basic,1987,Basic Building Set,1.0,102.0,True,327-1
511,1441,330,1,Basic,Basic,1985,"Basic Building Set, 3+",2.0,156.0,True,330-1
519,1462,333,1,Basic,Basic,1981,Basic Set,2.0,98.0,True,333-1
524,1479,335,1,Basic,Basic,1990,"Basic Building Set, 3+",,99.0,True,335-1
528,22425,337,1,Basic,Basic,1987,Basic Building Set,2.0,212.0,False,
532,1501,340,1,Basic,Basic,1985,"Basic Building Set, 3+",2.0,214.0,True,340-1
546,1547,345,2,Basic,Basic,1993,"Small Play Bucket, 3+",,131.0,False,
551,10101,347,2,Basic,Basic,1987,Basic Building Set,2.0,328.0,True,347-2
559,1599,350,2,Basic,Basic,1985,"Basic Building Set, 3+",4.0,311.0,True,350-2
566,1636,355,2,Basic,Basic,1981,Universal Building Set,2.0,181.0,True,355-2
569,22424,357,2,Basic,Basic,1987,Basic Building Set,,681.0,False,
583,1712,365,2,Basic,Basic,1990,"Basic Building Set, 3+",1.0,337.0,False,
584,26632,365,3,Basic,Basic,1993,Build-n-Store Chest,,333.0,True,365-3
585,1721,366,1,Basic,Basic,1981,Basic Building Set,2.0,184.0,True,366-1
618,1837,385,2,Basic,Basic,1990,"Basic Building Set, 3+",2.0,438.0,True,385-2
621,9777,390,1,Basic,Basic,1986,Helicopter,1.0,24.0,True,390-1
624,23655,391,2,Basic,Basic,1986,Police Car,1.0,21.0,True,391-2
626,9215,392,2,Basic,Basic,1986,Fire Engine,1.0,23.0,True,392-2
628,23656,393,2,Basic,Basic,1986,Tow Truck,1.0,29.0,True,393-2
631,8631,395,2,Basic,Basic,1990,Build-N-Store Chest,,535.0,True,395-2
773,2419,503,1,Basic,Basic,1987,"Basic Building Set, 5+",,34.0,True,503-1
775,2430,504,1,Basic,Basic,1985,"Basic Building Set, 5+",,41.0,False,
776,2461,507,1,Basic,Basic,1987,"Basic Building Set, 5+",,60.0,True,507-1
777,2472,508,1,Basic,Basic,1985,"Basic Building Set, 5+",,66.0,True,508-1
780,2493,510,1,Basic,Basic,1985,"Basic Building Set, 5+",,98.0,True,510-1
787,2543,515,1,Basic,Basic,1990,"Basic Building Set, 5+",,111.0,True,515-1
791,8697,517,2,Basic,Basic,1987,Basic Building Set 5+,,115.0,True,517-2
800,2594,520,1,Basic,Basic,1985,"Basic Building Set, 5+",1.0,165.0,True,520-1
811,2643,525,1,Basic,Basic,1990,"Basic Building Set, 5+",1.0,181.0,True,525-1
812,23500,527,1,Basic,Basic,1987,Basic Building Set,1.0,192.0,True,527-1
815,2691,530,1,Basic,Basic,1985,"Basic Building Set, 5+",2.0,269.0,True,530-1
