Number,Name,Theme - Subtheme,Year,Pieces,Minifigs
1041-2,Educational Duplo Building Set,Dacta,1980,68,
1050-2,Universal set for boys and girls,Dacta,1980,,
1062-1,{Town Vehicles},Dacta,1980,172,6
1075-1,LEGO People Supplementary Set,Dacta,1980,304,
1076-2,LEGO Car and Truck Supplementary Set,Dacta,1980,,
1101-1,Replacement 4.5V Motor,Service Packs,1980,1,
1102-1,Four Motor Wheel Bushes,Service Packs,1980,4,
1103-1,Battery Box,Service Packs,1980,1,
1104-1,Two Connector Leads,Service Packs,1980,2,
1105-1,Two Rubber Crawler Tracks,Service Packs,1980,2,
1106-1,Battery Tender for Trains,Service Packs - Trains,1980,2,
1107-1,Two Shunting Trip-Posts and One Signal,Service Packs - Trains,1980,4,
1108-1,Two Pairs of Magnetic Couplings,Service Packs - Trains,1980,4,
1110-1,Four Locomotive Wheels,Service Packs - Trains,1980,8,
1111-1,Eight Rubber Rims for Locomotive Wheels,Service Packs - Trains,1980,8,
1113-1,Motor Frame 6 x 16 Stud Plus Four Buffers,Service Packs,1980,5,
1114-1,Motor Frame 6 x 22 Stud,Service Packs,1980,1,
1115-1,"Lighting Brick, 4.5V",Service Packs,1980,1,
1120-1,"Two Tyres, 42 mm Diameter",Service Packs,1980,2,
1122-1,Hinge Units,Service Packs,1980,3,
1123-1,Ball and Socket Couplings & One Articulated Joint,Service Packs,1980,8,
1125-1,Crane Grab Assembly,Service Packs,1980,3,
1129-2,Spread Bag,Service Packs,1980,34,
1130-1,Plastic Folder for Building Instructions,Service Packs,1980,1,
1591-1,Danone Delivery Truck,Town - Special,1980,40,
1592-1,Town Square - Castle Scene,Town - Classic,1980,471,11
1651-2,Maersk Line Container Lorry,Town - Special,1980,305,1
2053-1,Rock 'n' Roll Pull-Toy,Duplo,1980,4,1
2056-1,Rock 'n' Rattle Pull-Toy,Duplo,1980,6,1
2620-1,Sports Car,Duplo,1980,2,1
2623-1,Delivery Van,Duplo,1980,6,1
2625-1,Car with Boat and Trailer,Duplo,1980,6,1
2627-1,Pony Trailer,Duplo,1980,5,1
2630-1,Family Room,Duplo,1980,9,3
2640-1,Grocery Store,Duplo,1980,23,2
2643-2,Playbox,Duplo,1980,1,
2645-1,Nursery School,Duplo,1980,29,6
2650-1,Farm,Duplo,1980,60,5
3602-1,Pram - Lisa Lamb Goes Walking,Fabuland,1980,3,1
3604-1,Mark Monkey with his Fruit Stall,Fabuland,1980,3,1
3605-1,Ricky Racoon and his Scooter,Fabuland,1980,1,1
3634-1,Charlie Crow's Carry-All,Fabuland,1980,17,1
3665-1,Harry Horse and Clara Cow's Ice Cream Shoppe,Fabuland,1980,36,2
4306-1,Rings,Scala - Jewellery,1980,15,
4307-1,Rings,Scala - Jewellery,1980,15,
4336-1,Picture Frame and Mirror,Scala - Jewellery,1980,52,
5233-1,Bedroom,Homemaker,1980,26,1
6000-1,LEGOLAND Idea Book,Books - LEGO,1980,,
6304-1,"Road Plates, Cross",Town - Accessories,1980,2,
6305-1,Trees and Flowers,Town - Accessories,1980,12,
6306-1,Road Signs,Town - Accessories,1980,12,
6363-1,Auto Repair Shop,Town - Shops and Services,1980,141,1
6364-1,Paramedic Unit,Town - Medical,1980,137,2
6375-2,Exxon Gas Station,Town - Shops and Services,1980,267,3
6390-1,Main Street,Town - Shops and Services,1980,591,8
6609-1,Race Car,Town - Racing,1980,17,1
6627-1,Convertible,Town - Vehicles,1980,37,1
